train_name,stop_key,stop_id,stop_name,parent_id,key,direction
2,2 E 180 St,213,E 180 St,213,2E ,213S
F,F East Broadway,F16,East Broadway,F16,FEa,F16S
5,5 Eastchester - Dyre Av,501,Eastchester - Dyre Av,501,5Ea,501S
2,2 Eastern Pkwy - Brooklyn Museum,238,Eastern Pkwy - Brooklyn Museum,238,2Ea,238S
6,6 Elder Av,611,Elder Av,611,6El,611S
G,G Elmhurst Av,G13,Elmhurst Av,G13,GEl,G13S
S,S Eltingville,S18,Eltingville,S18,SEl,S18S
M,M Essex St,M18,Essex St,F15,MEs,M18S
A,A Euclid Av,A55,Euclid Av,A55,AEu,A55S
H,H Far Rockaway - Mott Av,H11,Far Rockaway - Mott Av,H11,HFa,H11S
2,2 Flatbush Av - Brooklyn College,247,Flatbush Av - Brooklyn College,247,2Fl,247S
7,7 Flushing - Main St,701,Flushing - Main St,701,7Fl,701S
M,M Flushing Av,M12,Flushing Av,M12,MFl,M12S
G,G Flushing Av,G31,Flushing Av,G31,GFl,G31S
4,4 Fordham Rd,407,Fordham Rd,407,4Fo,407S
D,D Fordham Rd,D05,Fordham Rd,D05,DFo,D05S
M,M Forest Av,M05,Forest Av,M05,MFo,M05S
G,G Forest Hills - 71 Av,G08,Forest Hills - 71 Av,G08,GFo,G08S
N,N Fort Hamilton Pkwy,N03,Fort Hamilton Pkwy,N03,NFo,N03S
F,F Fort Hamilton Pkwy,F26,Fort Hamilton Pkwy,F26,FFo,F26S
B,B Fort Hamilton Pkwy,B13,Fort Hamilton Pkwy,B13,BFo,B13S
S,S Franklin Av,S01,Franklin Av,A45,SFr,S01S
A,A Franklin Av,A45,Franklin Av,A45,AFr,A45S
2,2 Franklin Av,239,Franklin Av,239,2Fr,239S
1,1 Franklin St,136,Franklin St,136,1Fr,136S
2,2 Freeman St,216,Freeman St,216,2Fr,216S
M,M Fresh Pond Rd,M04,Fresh Pond Rd,M04,MFr,M04S
A,A Fulton St,A38,Fulton St,229,AFu,A38S
4,4 Fulton St,418,Fulton St,229,4Fu,418S
M,M Fulton St,M22,Fulton St,229,MFu,M22S
2,2 Fulton St,229,Fulton St,229,2Fu,229S
G,G Fulton St,G36,Fulton St,G36,GFu,G36S
J,J Gates Av,J30,Gates Av,J30,JGa,J30S
L,L Graham Av,L11,Graham Av,L11,LGr,L11S
2,2 Grand Army Plaza,237,Grand Army Plaza,237,2Gr,237S
G,G Grand Av - Newtown,G12,Grand Av - Newtown,G12,GGr,G12S
6,6 Grand Central - 42 St,631,Grand Central - 42 St,631,6Gr,631S
9,9 Grand Central - 42 St,901,Grand Central - 42 St,631,9Gr,901S
7,7 Grand Central - 42 St,723,Grand Central - 42 St,631,7Gr,723S
L,L Grand St,L12,Grand St,L12,LGr,L12S
D,D Grand St,D22,Grand St,D22,DGr,D22S
A,A Grant Av,A57,Grant Av,A57,AGr,A57S
S,S Grant City,S23,Grant City,S23,SGr,S23S
S,S Grasmere,S27,Grasmere,S27,SGr,S27S
S,S Great Kills,S19,Great Kills,S19,SGr,S19S
G,G Greenpoint Av,G26,Greenpoint Av,G26,GGr,G26S
2,2 Gun Hill Rd,208,Gun Hill Rd,208,2Gu,208S
5,5 Gun Hill Rd,503,Gun Hill Rd,503,5Gu,503S
J,J Halsey St,J29,Halsey St,J29,JHa,J29S
L,L Halsey St,L19,Halsey St,L19,LHa,L19S
3,3 Harlem - 148 St,301,Harlem - 148 St,301,3Ha,301S
M,M Hewes St,M14,Hewes St,M14,MHe,M14S
A,A High St,A40,High St,A40,AHi,A40S
1,1 Houston St,134,Houston St,134,1Ho,134S
H,H Howard Beach - JFK Airport,H03,Howard Beach - JFK Airport,H03,HHo,H03S
A,A Hoyt - Schermerhorn Sts,A42,Hoyt - Schermerhorn Sts,A42,AHo,A42S
2,2 Hoyt St,233,Hoyt St,233,2Ho,233S
S,S Huguenot,S16,Huguenot,S16,SHu,S16S
7,7 Hunters Point Av,720,Hunters Point Av,720,7Hu,720S
6,6 Hunts Point Av,613,Hunts Point Av,613,6Hu,613S
2,2 Intervale Av,218,Intervale Av,218,2In,218S
A,A Inwood - 207 St,A02,Inwood - 207 St,A02,AIn,A02S
2,2 Jackson Av,220,Jackson Av,220,2Ja,220S
G,G Jackson Hts - Roosevelt Av,G14,Jackson Hts - Roosevelt Av,710,GJa,G14S
F,F Jamaica - 179 St,F01,Jamaica - 179 St,F01,FJa,F01S
G,G Jamaica - Van Wyck,G07,Jamaica - Van Wyck,G07,GJa,G07S
G,G Jamaica Center - Parsons/Archer,G05,Jamaica Center - Parsons/Archer,G05,GJa,G05S
R,R Jay St - MetroTech,R29,Jay St - MetroTech,A41,RJa,R29S
A,A Jay St - MetroTech,A41,Jay St - MetroTech,A41,AJa,A41S
S,S Jefferson Av,S24,Jefferson Av,S24,SJe,S24S
L,L Jefferson St,L15,Jefferson St,L15,LJe,L15S
7,7 Junction Blvd,707,Junction Blvd,707,7Ju,707S
2,2 Junius St,254,Junius St,254,2Ju,254S
F,F Kew Gardens - Union Tpke,F06,Kew Gardens - Union Tpke,F06,FKe,F06S
N,N Kings Hwy,N08,Kings Hwy,N08,NKi,N08S
D,D Kings Hwy,D35,Kings Hwy,D35,DKi,D35S
F,F Kings Hwy,F35,Kings Hwy,F35,FKi,F35S
4,4 Kingsbridge Rd,406,Kingsbridge Rd,406,4Ki,406S
D,D Kingsbridge Rd,D04,Kingsbridge Rd,D04,DKi,D04S
A,A Kingston - Throop Avs,A47,Kingston - Throop Avs,A47,AKi,A47S
2,2 Kingston Av,249,Kingston Av,249,2Ki,249S
M,M Knickerbocker Av,M09,Knickerbocker Av,M09,MKn,M09S
J,J Kosciuszko St,J31,Kosciuszko St,J31,JKo,J31S
A,A Lafayette Av,A43,Lafayette Av,A43,ALa,A43S
F,F Lexington Av/53 St,F11,Lexington Av/53 St,630,FLe,F11S
R,R Lexington Av/59 St,R11,Lexington Av/59 St,629,RLe,R11S
B,B Lexington Av/63 St,B08,Lexington Av/63 St,B08,BLe,B08S
A,A Liberty Av,A52,Liberty Av,A52,ALi,A52S
L,L Livonia Av,L26,Livonia Av,254,LLi,L26S
6,6 Longwood Av,614,Longwood Av,614,6Lo,614S
L,L Lorimer St,L10,Lorimer St,G29,LLo,L10S
M,M Lorimer St,M13,Lorimer St,M13,MLo,M13S
1,1 Marble Hill - 225 St,106,Marble Hill - 225 St,106,1Ma,106S
M,M Marcy Av,M16,Marcy Av,M16,MMa,M16S
G,G Metropolitan Av,G29,Metropolitan Av,G29,GMe,G29S
7,7 Mets - Willets Point,702,Mets - Willets Point,702,7Me,702S
M,M Middle Village - Metropolitan Av,M01,Middle Village - Metropolitan Av,M01,MMi,M01S
6,6 Middletown Rd,603,Middletown Rd,603,6Mi,603S
L,L Montrose Av,L13,Montrose Av,L13,LMo,L13S
L,L Morgan Av,L14,Morgan Av,L14,LMo,L14S
5,5 Morris Park,505,Morris Park,505,5Mo,505S
6,6 Morrison Av- Sound View,610,Morrison Av- Sound View,610,6Mo,610S
4,4 Mosholu Pkwy,402,Mosholu Pkwy,402,4Mo,402S
4,4 Mt Eden Av,411,Mt Eden Av,411,4Mt,411S
G,G Myrtle - Willoughby Avs,G32,Myrtle - Willoughby Avs,G32,GMy,G32S
L,L Myrtle - Wyckoff Avs,L17,Myrtle - Wyckoff Avs,L17,LMy,L17S
M,M Myrtle - Wyckoff Avs,M08,Myrtle - Wyckoff Avs,L17,MMy,M08S
M,M Myrtle Av,M11,Myrtle Av,M11,MMy,M11S
S,S Nassau,S12,Nassau,S12,SNa,S12S
G,G Nassau Av,G28,Nassau Av,G28,GNa,G28S
D,D Neck Rd,D38,Neck Rd,D38,DNe,D38S
F,F Neptune Av,F39,Neptune Av,F39,FNe,F39S
2,2 Nereid Av,204,Nereid Av,204,2Ne,204S
2,2 Nevins St,234,Nevins St,234,2Ne,234S
S,S New Dorp,S22,New Dorp,S22,SNe,S22S
2,2 New Lots Av,257,New Lots Av,257,2Ne,257S
L,L New Lots Av,L27,New Lots Av,L27,LNe,L27S
N,N New Utrecht Av,N04,New Utrecht Av,B16,NNe,N04S
2,2 Newkirk Av,246,Newkirk Av,246,2Ne,246S
D,D Newkirk Plaza,D31,Newkirk Plaza,D31,DNe,D31S
G,G Northern Blvd,G16,Northern Blvd,G16,GNo,G16S
D,D Norwood - 205 St,D01,Norwood - 205 St,D01,DNo,D01S
J,J Norwood Av,J21,Norwood Av,J21,JNo,J21S
A,A Nostrand Av,A46,Nostrand Av,A46,ANo,A46S
2,2 Nostrand Av,248,Nostrand Av,248,2No,248S
S,S Oakwood Heights,S21,Oakwood Heights,S21,SOa,S21S
D,D Ocean Pkwy,D41,Ocean Pkwy,D41,DOc,D41S
S,S Old Town,S26,Old Town,S26,SOl,S26S
A,A Ozone Park - Lefferts Blvd,A65,Ozone Park - Lefferts Blvd,A65,AOz,A65S
2,2 Park Pl,228,Park Pl,228,2Pa,228S
S,S Park Pl,S03,Park Pl,S03,SPa,S03S
6,6 Parkchester,608,Parkchester,608,6Pa,608S
D,D Parkside Av,D27,Parkside Av,D27,DPa,D27S
F,F Parsons Blvd,F03,Parsons Blvd,F03,FPa,F03S
6,6 Pelham Bay Park,601,Pelham Bay Park,601,6Pe,601S
5,5 Pelham Pkwy,504,Pelham Pkwy,504,5Pe,504S
2,2 Pelham Pkwy,211,Pelham Pkwy,211,2Pe,211S
2,2 Pennsylvania Av,255,Pennsylvania Av,255,2Pe,255S
S,S Pleasant Plains,S14,Pleasant Plains,S14,SPl,S14S
2,2 President St,241,President St,241,2Pr,241S
R,R Prince St,R22,Prince St,R22,RPr,R22S
S,S Prince's Bay,S15,Prince's Bay,S15,SPr,S15S
R,R Prospect Av,R34,Prospect Av,R34,RPr,R34S
2,2 Prospect Av,219,Prospect Av,219,2Pr,219S
D,D Prospect Park,D26,Prospect Park,D26,DPr,D26S
G,G Queens Plaza,G21,Queens Plaza,G21,GQu,G21S
R,R Queensboro Plaza,R09,Queensboro Plaza,718,RQu,R09S
7,7 Queensboro Plaza,718,Queensboro Plaza,718,7Qu,718S
A,A Ralph Av,A49,Ralph Av,A49,ARa,A49S
1,1 Rector St,139,Rector St,139,1Re,139S
R,R Rector St,R26,Rector St,R26,RRe,R26S
S,S Richmond Valley,S13,Richmond Valley,S13,SRi,S13S
A,A Rockaway Av,A50,Rockaway Av,A50,ARo,A50S
2,2 Rockaway Av,253,Rockaway Av,253,2Ro,253S
A,A Rockaway Blvd,A61,Rockaway Blvd,A61,ARo,A61S
H,H Rockaway Park - Beach 116 St,H15,Rockaway Park - Beach 116 St,H15,HRo,H15S
B,B Roosevelt Island,B06,Roosevelt Island,B06,BRo,B06S
N,N S.B. Coney Island,N12,S.B. Coney Island,N12,NS.,N12S
2,2 Saratoga Av,252,Saratoga Av,252,2Sa,252S
M,M Seneca Av,M06,Seneca Av,M06,MSe,M06S
D,D Sheepshead Bay,D39,Sheepshead Bay,D39,DSh,D39S
A,A Shepherd Av,A54,Shepherd Av,A54,ASh,A54S
2,2 Simpson St,217,Simpson St,217,2Si,217S
F,F Smith - 9 Sts,F22,Smith - 9 Sts,F22,FSm,F22S
1,1 South Ferry,142,South Ferry,142,1So,142S
1,1 South Ferry Loop,140,South Ferry Loop,140,1So,140S
A,A Spring St,A33,Spring St,A33,ASp,A33S
6,6 Spring St,638,Spring St,638,6Sp,638S
S,S St George,S31,St George,S31,SSt,S31S
6,6 St Lawrence Av,609,St Lawrence Av,609,6St,609S
S,S Stapleton,S29,Stapleton,S29,SSt,S29S
G,G Steinway St,G19,Steinway St,G19,GSt,G19S
2,2 Sterling St,242,Sterling St,242,2St,242S
F,F Sutphin Blvd,F04,Sutphin Blvd,F04,FSu,F04S
G,G Sutphin Blvd - Archer Av - JFK Airport,G06,Sutphin Blvd - Archer Av - JFK Airport,G06,GSu,G06S
L,L Sutter Av,L25,Sutter Av,L25,LSu,L25S
2,2 Sutter Av - Rutland Rd,251,Sutter Av - Rutland Rd,251,2Su,251S
9,9 Times Sq - 42 St,902,Times Sq - 42 St,127,9Ti,902S
R,R Times Sq - 42 St,R16,Times Sq - 42 St,127,RTi,R16S
7,7 Times Sq - 42 St,725,Times Sq - 42 St,127,7Ti,725S
1,1 Times Sq - 42 St,127,Times Sq - 42 St,127,1Ti,127S
S,S Tompkinsville,S30,Tompkinsville,S30,STo,S30S
S,S Tottenville,S09,Tottenville,S09,STo,S09S
D,D Tremont Av,D07,Tremont Av,D07,DTr,D07S
L,L Union Sq - 14 St,L03,Union Sq - 14 St,635,LUn,L03S
R,R Union St,R32,Union St,R32,RUn,R32S
A,A Utica Av,A48,Utica Av,A48,AUt,A48S
1,1 Van Cortlandt Park - 242 St,101,Van Cortlandt Park - 242 St,101,1Va,101S
J,J Van Siclen Av,J23,Van Siclen Av,J23,JVa,J23S
A,A Van Siclen Av,A53,Van Siclen Av,A53,AVa,A53S
2,2 Van Siclen Av,256,Van Siclen Av,256,2Va,256S
7,7 Vernon Blvd - Jackson Av,721,Vernon Blvd - Jackson Av,721,7Ve,721S
A,A W 4 St,A32,W 4 St,A32,AW ,A32S
D,D W 4 St,D20,W 4 St,A32,DW ,D20S
D,D W 8 St - NY Aquarium,D42,W 8 St - NY Aquarium,D42,DW ,D42S
2,2 Wakefield - 241 St,201,Wakefield - 241 St,201,2Wa,201S
2,2 Wall St,230,Wall St,230,2Wa,230S
